player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded,is_eligible_for_targeting,_ingested_at,turnover_brl,ggr_brl,last_bet_ts,n_bets,net_deposits_confirmed_brl,deposits_pending_brl,deposits_failed_brl,last_confirmed_deposit_ts,n_confirmed_deposits,personal_cadence_days,last_activity_ts,is_never_converted,days_since_last_activity,has_reliable_personal_cadence,dormancy_threshold_days,player_lifecycle_status,hold_rate,wallet_burn_rate,theoretical_balance_brl,value_segment
P00001,2024-01-11,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,5800.98,1661.48,2024-01-20T02:23:00.000Z,12,5436.049999999999,278.77,448.8,2024-01-18T17:20:00.000Z,4,3,2024-01-20T02:23:00.000Z,false,72,false,60.0,dormant,0.2864,0.3056,3774.57,alto_valor
P00003,2023-11-16,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,3136.3900000000003,1131.73,2023-12-31T01:57:00.000Z,6,1739.55,0.0,0.0,2023-12-02T16:29:00.000Z,2,6,2023-12-31T01:57:00.000Z,false,92,false,60.0,dormant,0.3608,0.6506,607.82,baixo_valor
P00005,2023-09-01,influencer,AO,USD,verified,false,true,2026-07-31T12:25:24.698Z,11495.4,-2891.51,2023-10-18T00:11:00.000Z,21,3570.84,207.26,4858.79,2023-10-12T11:03:00.000Z,5,3,2023-10-18T00:11:00.000Z,false,166,true,30.0,dormant,-0.2515,-0.8098,6462.35,medio_valor
P00012,2023-12-09,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,12624.169999999998,6499.809999999999,2024-01-27T13:50:00.000Z,24,4177.2,0.0,0.0,2024-01-22T17:37:00.000Z,4,9,2024-01-27T13:50:00.000Z,false,65,false,60.0,dormant,0.5149,1.556,-2322.61,medio_valor
P00015,2023-10-07,influencer,AO,USD,pending,false,true,2026-07-31T12:25:24.698Z,0.0,0.0,,0,925.18,0.0,0.0,2024-01-04T09:30:00.000Z,1,,2024-01-04T09:30:00.000Z,false,88,false,60.0,dormant,,0.0,925.18,valor_minimo
P00016,2023-09-20,influencer,BR,BRL,pending,false,true,2026-07-31T12:25:24.698Z,10286.070000000002,-3439.9500000000003,2024-01-20T10:54:00.000Z,24,4674.03,0.0,0.0,2023-11-15T00:45:00.000Z,4,15,2024-01-20T10:54:00.000Z,false,72,false,60.0,dormant,-0.3344,-0.736,8113.98,medio_valor
P00017,2023-08-05,organic,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,3618.27,438.43000000000006,2024-01-11T14:12:00.000Z,6,0.0,0.0,0.0,,0,,2024-01-11T14:12:00.000Z,false,81,false,60.0,dormant,0.1212,,-438.43,valor_minimo
P00018,2023-12-03,influencer,PT,EUR,verified,false,true,2026-07-31T12:25:24.698Z,1787.3600000000001,1412.9,2023-12-24T23:47:00.000Z,3,754.98,0.0,0.0,2023-12-31T02:48:00.000Z,1,,2023-12-31T02:48:00.000Z,false,92,false,60.0,dormant,0.7905,1.8714,-657.92,valor_minimo
P00019,2023-12-14,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:24.698Z,8193.480000000001,-1095.5,2024-01-21T20:48:00.000Z,15,1961.23,0.0,677.68,2024-01-26T01:08:00.000Z,3,1,2024-01-26T01:08:00.000Z,false,66,false,60.0,dormant,-0.1337,-0.5586,3056.73,baixo_valor
P00021,2023-09-28,paid_social,BR,EUR,pending,false,true,2026-07-31T12:25:24.698Z,7239.35,248.64999999999986,2023-11-20T09:25:00.000Z,18,4844.0599999999995,0.0,0.0,2023-11-02T19:39:00.000Z,5,1,2023-11-20T09:25:00.000Z,false,133,true,30.0,dormant,0.0343,0.0513,4595.41,alto_valor
P00023,2024-02-23,seo,BR,EUR,verified,false,true,2026-07-31T12:25:24.698Z,13023.43,-4170.2699999999995,2024-02-29T06:50:00.000Z,27,8135.729999999999,1813.6,1856.8899999999999,2024-02-29T06:45:00.000Z,7,0,2024-02-29T06:50:00.000Z,false,32,true,30.0,dormant,-0.3202,-0.5126,12306.0,alto_valor
P00024,2023-08-16,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,2830.75,-2263.83,2023-10-25T05:23:00.000Z,9,0.0,0.0,0.0,,0,,2023-10-25T05:23:00.000Z,false,159,false,60.0,dormant,-0.7997,,2263.83,valor_minimo
P00028,2023-09-09,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,13607.57,-1244.530000000001,2024-02-03T12:12:00.000Z,24,10439.349999999999,0.0,0.0,2024-01-13T00:56:00.000Z,10,12,2024-02-03T12:12:00.000Z,false,58,true,30.0,dormant,-0.0915,-0.1192,11683.88,alto_valor
P00029,2023-12-01,unknown,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,15078.74,-563.5299999999994,2023-12-09T11:23:00.000Z,30,5277.820000000001,1465.85,438.32,2023-12-09T06:47:00.000Z,5,0,2023-12-09T11:23:00.000Z,false,114,true,30.0,dormant,-0.0374,-0.1068,5841.35,alto_valor
P00031,2023-10-20,organic,AO,USD,verified,false,true,2026-07-31T12:25:24.698Z,8916.800000000001,-4633.05,2024-01-08T18:23:00.000Z,15,3915.7299999999996,1638.04,674.26,2023-12-17T01:52:00.000Z,4,23,2024-01-08T18:23:00.000Z,false,84,false,60.0,dormant,-0.5196,-1.1832,8548.78,medio_valor
P00034,2023-08-03,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,2328.31,2328.31,2023-11-24T18:07:00.000Z,3,2030.1399999999999,0.0,0.0,2023-11-29T18:14:00.000Z,2,74,2023-11-29T18:14:00.000Z,false,124,false,60.0,dormant,1.0,1.1469,-298.17,baixo_valor
P00035,2023-09-09,organic,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,2987.42,1606.0,2023-09-21T12:54:00.000Z,6,775.87,0.0,0.0,2023-09-12T14:37:00.000Z,1,,2023-09-21T12:54:00.000Z,false,193,false,60.0,dormant,0.5376,2.0699,-830.13,valor_minimo
P00037,2023-11-22,paid_social,BR,BRL,pending,false,true,2026-07-31T12:25:24.698Z,8287.91,-2542.009999999999,2023-12-01T21:43:00.000Z,18,6252.13,417.06,995.12,2023-11-27T22:36:00.000Z,6,1,2023-12-01T21:43:00.000Z,false,122,true,30.0,dormant,-0.3067,-0.4066,8794.14,alto_valor
P00039,2023-08-11,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:24.698Z,0.0,0.0,,0,732.4,0.0,0.0,2024-01-08T04:11:00.000Z,1,,2024-01-08T04:11:00.000Z,false,84,false,60.0,dormant,,0.0,732.4,valor_minimo
P00041,2023-10-25,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:24.698Z,1486.08,254.34999999999997,2024-01-11T15:08:00.000Z,3,210.71,0.0,0.0,2024-01-14T14:56:00.000Z,1,,2024-01-14T14:56:00.000Z,false,78,false,60.0,dormant,0.1712,1.2071,-43.64,valor_minimo
P00043,2023-11-11,organic,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,8235.05,2609.6399999999994,2024-01-30T17:41:00.000Z,21,9720.310000000001,0.0,1898.67,2024-02-02T18:02:00.000Z,8,9,2024-02-02T18:02:00.000Z,false,59,true,30.0,dormant,0.3169,0.2685,7110.67,alto_valor
P00046,2023-08-01,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,6093.779999999999,903.62,2023-10-16T19:36:00.000Z,12,2702.31,0.0,1805.89,2023-10-13T21:45:00.000Z,3,5,2023-10-16T19:36:00.000Z,false,168,false,60.0,dormant,0.1483,0.3344,1798.69,medio_valor
P00048,2023-09-02,seo,BR,BRL,pending,false,true,2026-07-31T12:25:24.698Z,6123.7,689.67,2024-01-04T14:11:00.000Z,12,4066.9500000000003,1109.7,2294.46,2023-10-04T23:40:00.000Z,3,10,2024-01-04T14:11:00.000Z,false,88,false,60.0,dormant,0.1126,0.1696,3377.28,medio_valor
P00050,2023-09-24,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,5584.0599999999995,-3765.000000000001,2023-10-14T03:03:00.000Z,9,5658.93,0.0,2598.94,2023-10-13T19:47:00.000Z,5,4,2023-10-14T03:03:00.000Z,false,170,true,30.0,dormant,-0.6742,-0.6653,9423.93,alto_valor
P00054,2023-08-13,paid_social,BR,BRL,pending,false,true,2026-07-31T12:25:24.698Z,13760.480000000001,-3890.89,2024-01-07T10:26:00.000Z,27,8015.22,0.0,1698.57,2023-11-24T14:18:00.000Z,6,9,2024-01-07T10:26:00.000Z,false,85,true,30.0,dormant,-0.2828,-0.4854,11906.11,alto_valor
P00056,2023-09-10,organic,PT,EUR,pending,false,true,2026-07-31T12:25:24.698Z,1354.63,904.8800000000001,2024-01-05T01:29:00.000Z,3,1139.83,327.64,0.0,2024-01-02T16:49:00.000Z,2,1,2024-01-05T01:29:00.000Z,false,87,false,60.0,dormant,0.668,0.7939,234.95,baixo_valor
P00057,2024-01-08,organic,BR,BRL,verified,false,true,2026-07-31T12:25:24.698Z,11467.149999999998,-765.31,2024-01-27T01:29:00.000Z,24,4801.88,1474.79,0.0,2024-01-23T00:28:00.000Z,3,6,2024-01-27T01:29:00.000Z,false,65,false,60.0,dormant,-0.0667,-0.1594,5567.19,medio_valor
