player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded,_source_file,_ingested_at
P00001,2024-01-11,affiliate,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00002,2023-12-30,affiliate,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00003,2023-11-16,paid_social,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00004,2024-02-12,organic,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00005,2023-09-01,influencer,AO,USD,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00006,2024-01-28,organic,BR,BRL,pending,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00007,2024-01-10,affiliate,PT,USD,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00008,2023-09-13,seo,BR,BRL,rejected,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00009,2023-10-23,affiliate,PT,EUR,pending,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00010,2024-03-12,seo,PT,EUR,pending,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00011,2024-02-07,influencer,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00012,2023-12-09,paid_social,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00013,2023-11-06,organic,BR,BRL,pending,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00014,2024-02-09,paid_social,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00015,2023-10-07,influencer,AO,USD,pending,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00016,2023-09-20,influencer,BR,BRL,pending,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00017,2023-08-05,organic,BR,BRL,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00018,2023-12-03,influencer,PT,EUR,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
P00019,2023-12-14,affiliate,PT,EUR,verified,false,file:///home/claude/flutter-martech-case/data/players.csv,2026-07-31T12:24:39.082Z
